case_id,output
223-638730,"['[{""event"": ""DD n. 67"", ""date"": ""28/02/2023""}, {""event"": ""DGR n. 112"", ""date"": ""15/03/2023""}]', '[{""event"": ""DD n. 67"", ""date"": ""28/02/2023""}, {""event"": ""DGR n. 112"", ""date"": ""15/03/2023""}, {""event"": ""DM n. 02/12/2016"", ""date"": ""02/12/2016""}, {""event"": ""DLGS n. 18/04/2016"", ""date"": ""18/04/2016""}]', '[{""event"": ""DD n. 67"", ""date"": ""28/02/2023""}, {""event"": ""DGR n. 112"", ""date"": ""15/03/2023""}, {""event"": ""DM n. 02/12/2016"", ""date"": ""02/12/2016""}, {""event"": ""DLGS n. 18/04/2016"", ""date"": ""18/04/2016""}]']"
021-051428,['[]']
248-716991,"['[{""event"": ""DD n. 452"", ""date"": ""15/03/2023""}]']"
067-177404,"['[{""event"": ""DD n. 51"", ""date"": ""31/03/2022""}]']"
235-678939,"['[{""event"": ""GUUE/S 146"", ""date"": ""01/08/2022""}, {""event"": ""GUUE/S 172"", ""date"": ""07/07/2022""}, {""event"": ""GUUE/S 105"", ""date"": ""09/09/2022""}, {""event"": ""GUUE/S 90"", ""date"": ""03/08/2022""}]']"
147-421403,"['[{""event"": ""DD n. 13237"", ""date"": ""29/06/2022""}]']"
209-597746,"['[{""event"": ""DD n. 2631"", ""date"": ""24/10/2022""}]']"
070-185352,"['[{""event"": ""DD n. 8095"", ""date"": ""29/12/2021""}, {""event"": ""DD n. 2075"", ""date"": ""04/04/2022""}]']"
105-294339,"['[{""event"": ""DD n. 452"", ""date"": ""15/03/2023""}]']"
145-415881,"['[{""event"": ""D n. 773"", ""date"": ""24/11/2021""}, {""event"": ""D n. 154"", ""date"": ""16/03/2022""}]']"
